time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-08-04T06:17:54.553Z,62.229,-145.7631,8.6,2.5,ml,,,,0.79,ak,ak16430876,2017-08-04T06:26:04.294Z,"17km NW of Glennallen, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-08-04T05:02:34.350Z,46.8554,-112.5402,10.27,2.9,ml,,69,0.064,0.5,us,us2000a4e6,2017-08-04T06:09:33.040Z,"15km SE of Lincoln, Montana",earthquake,4.1,5.1,0.062,34,reviewed,us,us
2017-08-04T05:02:03.640Z,18.0413,-66.4616,16,3.01,md,18,100,0.1446,0.3,pr,pr2017216000,2017-08-04T06:11:23.040Z,"1km NE of Rio Canas Abajo, Puerto Rico",earthquake,0.68,0.88,0.15,12,reviewed,pr,pr
2017-08-04T00:40:14.930Z,35.9445,-83.5588303,7.42,2.68,md,23,78,0.1069,0.19,se,se60203766,2017-08-04T05:26:00.117Z,"8km N of Sevierville, Tennessee",earthquake,0.35,0.95,0.54,12,reviewed,se,se
2017-08-03T23:43:35.670Z,-45.638,-77.3543,14.31,4.4,mb,,205,3.551,0.64,us,us2000a4c6,2017-08-04T00:09:05.040Z,"Off the coast of Aisen, Chile",earthquake,10.9,6.6,0.123,19,reviewed,us,us
2017-08-03T23:43:27.950Z,-19.731,-173.4507,10,5.3,mb,,28,6.006,1.03,us,us2000a4ca,2017-08-04T04:15:43.788Z,"94km E of Pangai, Tonga",earthquake,9.2,1.7,0.029,393,reviewed,us,us
2017-08-03T23:17:23.050Z,-10.6022,-78.1151,62.6,4.8,mb,,140,1.858,0.75,us,us2000a4bm,2017-08-04T03:27:44.001Z,"31km WNW of Paramonga, Peru",earthquake,8.9,6.9,0.048,136,reviewed,us,us
2017-08-03T22:01:04.070Z,35.6673,-97.1724,3.81,2.6,mb_lg,,41,0.139,0.55,us,us2000a4ap,2017-08-03T22:48:31.482Z,"2km ENE of Luther, Oklahoma",earthquake,1.3,0.7,0.067,58,reviewed,us,us
2017-08-03T21:38:11.590Z,19.0971,-66.933,10,3,md,18,222,0.6543,0.3,pr,pr2017215002,2017-08-03T22:45:02.040Z,"74km N of Isabela, Puerto Rico",earthquake,1.15,2.029,0.12,13,reviewed,pr,pr
2017-08-03T21:25:01.990Z,40.3998333,-120.004,10.48,3.56,mw,17,235,0.2757,0.08,nc,nc72858911,2017-08-04T01:20:05.663Z,"45km ENE of Janesville, California",earthquake,1.09,0.71,,4,reviewed,nc,nc
2017-08-03T18:58:22.390Z,19.621,-75.4845,10,3.9,ml,,95,0.465,1.54,us,us2000a4a6,2017-08-03T21:24:01.309Z,"56km SE of Santiago de Cuba, Cuba",earthquake,2.9,2,0.097,14,reviewed,us,us
